benchmark,base_result,machine,limits,lower_is_better,class,repetition,result,normalized
stressng-cpu-cdouble,3519.1637539999997,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,3192.3952050000003,0.907145966530093
stressng-cpu-cdouble,3519.1637539999997,dwill.soe.ucsc.edu,without,false,cpu,1,7394.414104,2.1011850032824593
stressng-cpu-cdouble,3519.1637539999997,dwill.soe.ucsc.edu,without,false,cpu,2,7394.507404999999,2.1012115155468836
stressng-cpu-cdouble,3519.1637539999997,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,3190.907303,0.9067231666537562
stressng-cpu-cdouble,3519.1637539999997,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,3193.492386,0.9074577397457476
stressng-cpu-cdouble,3519.1637539999997,nibbler.soe.ucsc.edu,without,false,cpu,1,6498.734305,1.8466700498416193
stressng-cpu-cdouble,3519.1637539999997,nibbler.soe.ucsc.edu,without,false,cpu,2,6603.3157439999995,1.8763877459508524
stressng-cpu-cfloat,2240.5563030000003,192.168.140.82,quota-7111,false,cpu,rep-1,1391.0453109999999,0.6208481836129068
stressng-cpu-cfloat,2240.5563030000003,192.168.140.82,quota-7111,false,cpu,rep-2,1418.734007,0.6332061395200743
stressng-cpu-cfloat,2240.5563030000003,192.168.140.82,without,false,cpu,1,2478.9650699999997,1.106406059370515
stressng-cpu-cfloat,2240.5563030000003,192.168.140.82,without,false,cpu,2,2616.0618280000003,1.1675947730022298
stressng-cpu-cfloat,2240.5563030000003,192.168.140.86,quota-6352,false,cpu,rep-1,1432.549486,0.6393722327271504
stressng-cpu-cfloat,2240.5563030000003,192.168.140.86,quota-6352,false,cpu,rep-2,1416.343658,0.6321392843837854
stressng-cpu-cfloat,2240.5563030000003,192.168.140.86,without,false,cpu,1,4010.0619479999996,1.789761740256522
stressng-cpu-cfloat,2240.5563030000003,192.168.140.86,without,false,cpu,2,4011.4706380000002,1.7903904635776517
stressng-cpu-cfloat,2240.5563030000003,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,1438.002297,0.6418059189472641
stressng-cpu-cfloat,2240.5563030000003,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,1438.451506,0.6420064088878198
stressng-cpu-cfloat,2240.5563030000003,clnode056.clemson.cloudlab.us,without,false,cpu,1,2853.885439,1.2737396668759364
stressng-cpu-cfloat,2240.5563030000003,clnode056.clemson.cloudlab.us,without,false,cpu,2,2856.484881,1.2748998439250556
stressng-cpu-cfloat,2240.5563030000003,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,1806.126568,0.8061063074298471
stressng-cpu-cfloat,2240.5563030000003,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,1806.2445149999999,0.8061589492669846
stressng-cpu-cfloat,2240.5563030000003,dwill.soe.ucsc.edu,without,false,cpu,1,4185.75569,1.8681769721186958
stressng-cpu-cfloat,2240.5563030000003,dwill.soe.ucsc.edu,without,false,cpu,2,4186.646797,1.8685746889708934
stressng-cpu-cfloat,2240.5563030000003,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,1984.8547600000002,0.8858758681236317
stressng-cpu-cfloat,2240.5563030000003,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,1949.0748600000002,0.869906664425384
stressng-cpu-cfloat,2240.5563030000003,nibbler.soe.ucsc.edu,without,false,cpu,1,4053.0538100000003,1.8089497704535031
stressng-cpu-cfloat,2240.5563030000003,nibbler.soe.ucsc.edu,without,false,cpu,2,4055.145665,1.8098834024257053
stressng-cpu-cfloat,2239.195516,192.168.140.82,quota-7111,false,cpu,rep-1,1391.0453109999999,0.6212254807855733
stressng-cpu-cfloat,2239.195516,192.168.140.82,quota-7111,false,cpu,rep-2,1418.734007,0.6335909467764403
stressng-cpu-cfloat,2239.195516,192.168.140.82,without,false,cpu,1,2478.9650699999997,1.1070784361109802
stressng-cpu-cfloat,2239.195516,192.168.140.82,without,false,cpu,2,2616.0618280000003,1.1683043348859583
stressng-cpu-cfloat,2239.195516,192.168.140.86,quota-6352,false,cpu,rep-1,1432.549486,0.6397607871951454
stressng-cpu-cfloat,2239.195516,192.168.140.86,quota-6352,false,cpu,rep-2,1416.343658,0.6325234432989995
stressng-cpu-cfloat,2239.195516,192.168.140.86,without,false,cpu,1,4010.0619479999996,1.7908494007541587
stressng-cpu-cfloat,2239.195516,192.168.140.86,without,false,cpu,2,4011.4706380000002,1.7914785061582803
stressng-cpu-cfloat,2239.195516,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,1438.002297,0.642195952396682
stressng-cpu-cfloat,2239.195516,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,1438.451506,0.6423965641774713
stressng-cpu-cfloat,2239.195516,clnode056.clemson.cloudlab.us,without,false,cpu,1,2853.885439,1.2745137343335051
stressng-cpu-cfloat,2239.195516,clnode056.clemson.cloudlab.us,without,false,cpu,2,2856.484881,1.2756746164366648
stressng-cpu-cfloat,2239.195516,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,1806.126568,0.8065961882713951
stressng-cpu-cfloat,2239.195516,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,1806.2445149999999,0.8066488620996326
stressng-cpu-cfloat,2239.195516,dwill.soe.ucsc.edu,without,false,cpu,1,4185.75569,1.8693122865292482
stressng-cpu-cfloat,2239.195516,dwill.soe.ucsc.edu,without,false,cpu,2,4186.646797,1.8697102450789294
stressng-cpu-cfloat,2239.195516,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,1984.8547600000002,0.8864142259205917
stressng-cpu-cfloat,2239.195516,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,1949.0748600000002,0.8704353175383904
stressng-cpu-cfloat,2239.195516,nibbler.soe.ucsc.edu,without,false,cpu,1,4053.0538100000003,1.8100490917560412
stressng-cpu-cfloat,2239.195516,nibbler.soe.ucsc.edu,without,false,cpu,2,4055.145665,1.8109832911080193
stressng-cpu-clongdouble,35.141833,192.168.140.82,quota-7111,false,cpu,rep-1,354.479649,10.08711324193021
stressng-cpu-clongdouble,35.141833,192.168.140.82,quota-7111,false,cpu,rep-2,355.786267,10.124294512468943
stressng-cpu-clongdouble,35.141833,192.168.140.82,without,false,cpu,1,669.254158,19.044372500432747
stressng-cpu-clongdouble,35.141833,192.168.140.82,without,false,cpu,2,665.857454,18.947715504766073
stressng-cpu-clongdouble,35.141833,192.168.140.86,quota-6352,false,cpu,rep-1,25.757135,0.73294796546327
stressng-cpu-clongdouble,35.141833,192.168.140.86,quota-6352,false,cpu,rep-2,25.479008,0.7250335518924127
stressng-cpu-clongdouble,35.141833,192.168.140.86,without,false,cpu,1,71.808481,2.0433903092078323
stressng-cpu-clongdouble,35.141833,192.168.140.86,without,false,cpu,2,71.88483199999999,2.045562961954773
stressng-cpu-clongdouble,35.141833,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,25.752433,0.732814164816047
stressng-cpu-clongdouble,35.141833,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,25.719267000000002,0.7318703893448018
stressng-cpu-clongdouble,35.141833,clnode056.clemson.cloudlab.us,without,false,cpu,1,51.183257,1.4564765873197336
stressng-cpu-clongdouble,35.141833,clnode056.clemson.cloudlab.us,without,false,cpu,2,51.158761,1.4557795263553839
stressng-cpu-clongdouble,35.141833,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,33.56579,0.9551519409929471
stressng-cpu-clongdouble,35.141833,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,33.565934000000006,0.9551560386733386
stressng-cpu-clongdouble,35.141833,dwill.soe.ucsc.edu,without,false,cpu,1,78.03525400000001,2.2205800704818106
stressng-cpu-clongdouble,35.141833,dwill.soe.ucsc.edu,without,false,cpu,2,78.07746800000001,2.221781316870979
stressng-cpu-clongdouble,35.141833,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,45.280364,1.2885031921926213
stressng-cpu-clongdouble,35.141833,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,45.337892,1.2901402155089634
stressng-cpu-clongdouble,35.141833,nibbler.soe.ucsc.edu,without,false,cpu,1,94.184205,2.6801164583532113
stressng-cpu-clongdouble,35.141833,nibbler.soe.ucsc.edu,without,false,cpu,2,93.412837,2.6581663227413324
stressng-cpu-clongdouble,35.116170000000004,192.168.140.82,quota-7111,false,cpu,rep-1,354.479649,10.0944849338638
